ID,Label,Gender
73457,Chris Pratt,2
8691,Zoe Saldana,1
543530,Dave Bautista,2
12835,Vin Diesel,2
51329,Bradley Cooper,2
72095,Lee Pace,2
12132,Michael Rooker,2
543261,Karen Gillan,1
938,Djimon Hounsou,2
4764,John C. Reilly,2
515,Glenn Close,1
1121,Benicio del Toro,2
209578,Laura Haddock,1
51663,Sean Gunn,2
11115,Peter Serafinowicz,2
8399,Christopher Fairbank,2
1405259,Krystian Godlewski,0
1148455,Wyatt Oleff,2
2518,Gregg Henry,2
1405269,Janis Ahern,0
1405309,Solomon Mousley,0
1405311,Lindsay Morton,0
1405317,Robert Firth,0
1133011,Melia Kreiling,0
95051,Tom Proctor,2
1237281,Nick Holmes,0
1202683,Max Wrottesley,0
7624,Stan Lee,2
1186515,Nicole Alexandra Shipley,1
1211966,Sharif Atkins,2
72440,Brendan Fehr,2
941,Tomas Arana,2
1363394,Mikaela Hoover,1
1111204,Emmett Scanlan,0
1405441,Dominic Grant,0
25451,Spencer Wilding,0
1405444,Alison Lintott,1
1211540,Alexis Rodney,0
51797,Nathan Fillion,2
1234991,Keeley Forsyth,1
1405453,Frank Gilhooley,0
1214673,Alexis Denisof,2
91494,Enzo Cilenti,2
25679,Richard Katz,0
56617,Enoch Frost,0
1132153,Ronan Summers,2
82639,Ophelia Lovibond,1
59286,Laura Ortiz,1
1312266,Marama Corlett,0
1405537,Rosie Jones,0
1405538,Abidemi Sobande,0
1405540,Alex Rose,0
1394341,Ekaterina Zalitko,0
1405552,Emily Redding,0
1405553,Fred,0
85096,Stephen Blackehart,2
1405554,Jennifer Moylan-Taylor,0
1227575,Bruce Mackinnon,0
202032,Ralph Ineson,2
16848,Rob Zombie,2
1229414,Naomi Ryan,1
222906,John Brotherton,2
92615,Graham Shiels,2
15218,James Gunn,2
1405566,Douglas Robson,0
1405567,Rachel Cullen,0
1405570,Isabella Poynton,0
1405571,Imogen Poynton,0
1362815,David Yarovesky,0
1283880,Miriam Lucia,0
16851,Josh Brolin,2
78021,Lloyd Kaufman,2
15221,Tyler Bates,2
13922,Seth Green,2
1388891,Jozef Aoki,2
10205,Sigourney Weaver,1
10127,Jon Voight,2
4687,Patricia Arquette,1
10959,Shia LaBeouf,2
122756,Dulé Hill,2
31903,Henry Winkler,2
1462,Tim Blake Nelson,2
70243,Eartha Kitt,1
54495,Khleo Thomas,2
6751,Siobhan Fallon Hogan,1
52939,Max Kasch,2
987572,Zane Holtz,2
1025090,Jim Wilkey,2
21366,Roma Maffia,1
12889,Ray Baker,2
111667,Damien Luvara,0
63935,Alex Daniels,2
54496,Jake M. Smith,2
54497,Byron Cotton,2
54498,Brenden Richard Jefferson,2
1534739,Noah Poletiek,0
